Person,Sted,År,Hvede,Rug,Byg,Havre,Ærter & Vikker,Bønner,Føl,Lam,Gris,Kalv,Tiende Lam,Tiende Gris,Restance Lam,Restance Gris,Gæs,Almisse Korn,Michelsdag Rug,Noter
Lasse Mortenßen,Affuiltorp,1618,,,1 td,1 td,2 s,,2,28,,6,3,1,6,,2,1 td ,1 s,[pag. 52-53]
Lasse Mortenßen,Affuiltorp,1619,8 k,16 k,3 t,10 k,1 l,,,16,,2,1,,9,,2,1 td ,1 s,
Frederich Hanßen,Affuiltorp,1620,,,3 t,12 k,2 l,,1,18,15,,1,2,4,,2,1 td ,,rugen quiterit vdj erterne
Frederich Hanßen,Affuiltorp,1621,1 t,1 t,1 t 3 k,12 k,2 l,,,25,13,8,2,3,,,2,1 td ,,
Christen Frost,Affuiltorp,1622,,,,,,,,,10,1,,1,,,2,1 td ,1 s,
Christen Frost,Affuiltorp,1623,2 t,1 t 4 k,3.5 t,10 k,2 l,,1,21,5,6,2,1,3,,2,1 td,1 s,'Christen' written above lam value
Christen Frost,Affuiltorp,1624,11 k,19 k,2 t 13 k,11 k,1 l,,1,8,15,5,2,1,,2,2,1 td ,1 s,Inserted line above 1624: lam 10. kalff 1. decimae_lam 1 . restantz_lam 1
Christen Frost,Affuiltorp,1625,1 t 12 k,2 t 3 k,4 t 4 k,2 t 4 k,"1.5 l, 2 t",4 k,,2,7,5,,1,3,,2,1 td ,1 s,
Christen Frost,Affuiltorp,1626,14 k,24 k,5 t,16 k,2 l,,2,10,10,5,2,1,,,2,1 td ,1 s,
Christen Frost,Affuiltorp,1627,2 t 1 k,1.5 t,4 t,1.5 t 3 k,,7 k,3,8,10,5,1,1,,6,2,1 td ,1 s,
Christen Frost,Affuiltorp,1628,1 t,1 t,4.5 t 3 k,14 k,,,2,14,14,4,2,2,,,2,1 td ,,
Christen Frost,Affuiltorp,1629,2.5 t,,3 t,10 k,2 l,,2,12,10,1,1,1,5,,2,,,
Bertel Rasmusz,Affuiltorp,1618,1 t 8 k,12 k,1 t 14 k,10 k,2 l,3 k,1,16,4,2,2,,3,,2,2 s ,1 s,
Bertel Rasmusz,Affuiltorp,1619,2 t,1 t,1 t 14 k,16 k,,,,8,10,2,1,1,3,,2,2 s ,1 s,
Bertel Rasmusz,Affuiltorp,1620,,24 k,2 t 4 k,17 k,3 s,,,11,9,,1,1,3,,2,2 s ,1 s,
Bertel Rasmusz,Affuiltorp,1621,30 k,14 k,3 t 6 k,12 k,1 s,,1,10,10,3,1,1,7,,2,2 s ,1 s,
Bertel Rasmusz,Affuiltorp,1622,1 t,8 k,2 t,8 k,1 s,,,8,12,1,1,2,,,2,2 s,1 s,
Bertel Rasmusz,Affuiltorp,1623,10 k,16 k,2 t,1 t,2 s,,,1,,3,,,2,,2,2 s,1 s,
Bertel Rasmusz,Affuiltorp,1624,8 k,5 k,1 t 16 k,8 k,1 s,2 k,,8,,4,1,,4,,2,2 s,1 s,
Bertel Rasmusz,Affuiltorp,1625,6 k,14 k,2 t,10 k,1 s,2 k,,10,8,3,1,1,5,,2,2 s,1 s,
Bertel Rasmusz,Affuiltorp,1626,24 k,10 k,1.5 t 6 k,7 k,1 s,2 k,,10,8,3,1,1,6,,2,2 s,1 s,
Bertel Rasmusz,Affuiltorp,1627,38 k,24 k,2.5 t,1 s,1 s,,,12,12,4,2,1,4,,2,2 s,1 s,
